codeno,location,concat_date_time_in,concat_date_time_out,time_diff,day,total_space,color_value
1,"(2.977264, 79.929227)",1/25/2021 5:30,1/25/2021 5:35,5,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:32,1/25/2021 5:58,26,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:32,1/25/2021 5:57,25,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:33,1/25/2021 5:38,5,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:35,1/25/2021 5:52,17,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:35,1/25/2021 5:36,1,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:35,1/25/2021 6:17,42,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:36,1/25/2021 5:41,5,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:36,1/25/2021 5:46,10,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:37,1/25/2021 6:31,54,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:37,1/25/2021 5:57,20,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:37,1/25/2021 5:57,20,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:39,1/25/2021 5:47,8,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:40,1/25/2021 6:01,21,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:40,1/25/2021 5:43,3,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:40,1/25/2021 6:06,26,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:43,1/25/2021 5:55,12,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:43,1/25/2021 5:49,6,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:44,1/25/2021 5:56,12,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:44,1/25/2021 5:59,15,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:46,1/25/2021 6:16,30,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:46,1/25/2021 6:16,30,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:47,1/25/2021 6:02,15,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:48,1/25/2021 6:54,66,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:48,1/25/2021 6:03,15,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:49,1/25/2021 5:55,6,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:51,1/25/2021 6:07,16,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:52,1/25/2021 6:09,17,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:53,1/25/2021 5:58,5,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:54,1/25/2021 6:01,7,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:55,1/25/2021 6:12,17,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:57,1/25/2021 6:00,3,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:57,1/25/2021 6:32,35,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:59,1/25/2021 6:02,3,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:59,1/25/2021 6:39,40,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:59,1/25/2021 6:05,6,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:00,1/25/2021 6:08,8,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:01,1/25/2021 6:14,13,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:03,,,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:03,1/25/2021 6:10,7,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:03,1/25/2021 6:18,15,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:05,,,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:05,,,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:05,1/25/2021 6:10,5,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:07,1/25/2021 6:37,30,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:09,1/25/2021 6:30,21,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:09,,,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:10,1/25/2021 6:25,15,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:10,,,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:12,1/25/2021 6:23,11,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:14,1/25/2021 6:22,8,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:18,1/25/2021 6:41,23,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:18,1/25/2021 6:28,10,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:18,1/25/2021 6:35,17,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:19,,,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:19,1/25/2021 6:23,4,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:19,1/25/2021 6:30,11,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:19,,,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:20,1/25/2021 6:30,10,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:21,1/25/2021 6:40,19,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:25,,,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:26,1/25/2021 6:30,4,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:27,1/25/2021 6:33,6,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:28,,,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:29,1/25/2021 6:41,12,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:30,1/25/2021 6:39,9,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:32,,,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:34,1/25/2021 6:40,6,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:34,1/25/2021 6:38,4,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:34,1/25/2021 6:41,7,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:36,,,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:36,1/25/2021 6:40,4,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:37,1/25/2021 6:49,12,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:40,1/25/2021 6:44,4,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:40,1/25/2021 6:45,5,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:41,1/25/2021 6:52,11,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:41,1/25/2021 6:57,16,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:41,1/25/2021 6:46,5,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:41,1/25/2021 6:45,4,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:43,1/25/2021 6:56,13,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:44,1/25/2021 6:48,4,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:44,1/25/2021 6:51,7,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:44,1/25/2021 6:55,11,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:44,1/25/2021 7:00,16,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:46,1/25/2021 6:53,7,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:46,1/25/2021 6:58,12,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:46,1/25/2021 6:50,4,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:47,1/25/2021 6:51,4,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:49,1/25/2021 7:00,11,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:50,1/25/2021 6:50,0,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:50,1/25/2021 6:54,4,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:50,1/25/2021 6:52,2,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:53,,,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:54,1/25/2021 6:58,4,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:54,1/25/2021 6:59,5,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:54,1/25/2021 6:57,3,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:56,1/25/2021 6:59,3,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:57,1/25/2021 7:10,13,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:59,1/25/2021 7:08,9,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:59,1/25/2021 7:05,6,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 6:59,1/25/2021 7:16,17,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 7:01,1/25/2021 7:08,7,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 7:01,1/25/2021 7:05,4,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 7:01,1/25/2021 7:08,7,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 7:01,1/25/2021 7:04,3,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 7:03,1/25/2021 7:20,17,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 7:04,1/25/2021 7:23,19,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 7:04,1/25/2021 7:09,5,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 7:04,1/25/2021 7:12,8,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 7:04,1/25/2021 7:18,14,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 7:04,1/25/2021 7:08,4,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 7:04,1/25/2021 7:06,2,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 7:06,1/25/2021 7:15,9,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 7:07,1/25/2021 7:14,7,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 7:07,1/25/2021 7:10,3,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 7:10,1/25/2021 7:25,15,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 7:11,1/25/2021 7:27,16,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 7:11,1/25/2021 7:13,2,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 7:12,1/25/2021 7:16,4,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 7:13,1/25/2021 7:25,12,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 7:14,1/25/2021 7:19,5,M,140,452600
,,,,,,,
,,,,,,,
2,"(6.977074, 79.931796)",2/25/2021 5:31,2/25/2021 5:35,4,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:31,2/25/2021 5:40,9,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:31,2/25/2021 5:34,3,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:32,2/25/2021 5:38,6,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:32,2/25/2021 5:35,3,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:34,2/25/2021 5:40,6,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:34,2/25/2021 5:46,12,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:35,2/25/2021 5:39,4,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:35,2/25/2021 5:55,20,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:36,2/25/2021 5:40,4,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:37,2/25/2021 6:02,25,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:38,2/25/2021 5:43,5,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:38,2/25/2021 5:40,2,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:39,2/25/2021 5:44,5,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:40,2/25/2021 5:45,5,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:40,2/25/2021 6:01,21,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:42,2/25/2021 5:48,6,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:43,2/25/2021 5:45,2,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:44,2/25/2021 6:12,28,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:44,2/25/2021 6:00,16,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:44,2/25/2021 6:20,36,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:45,2/25/2021 5:51,6,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:46,2/25/2021 5:49,3,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:46,2/25/2021 5:50,4,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:47,2/25/2021 5:53,6,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:48,2/25/2021 5:51,3,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:48,2/25/2021 5:56,8,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:50,2/25/2021 5:53,3,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:50,2/25/2021 5:58,8,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:50,2/25/2021 6:15,25,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:52,2/25/2021 6:01,9,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:54,2/25/2021 6:04,10,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:56,2/25/2021 6:01,5,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:56,2/25/2021 5:59,3,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:57,2/25/2021 6:10,13,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:57,2/25/2021 5:59,2,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 5:57,2/25/2021 5:59,2,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:00,2/25/2021 6:05,5,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:01,2/25/2021 6:09,8,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:03,2/25/2021 6:30,27,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:05,2/25/2021 6:09,4,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:05,2/25/2021 6:36,31,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:08,2/25/2021 6:12,4,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:10,2/25/2021 6:11,1,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:10,2/25/2021 6:21,11,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:10,2/25/2021 6:14,4,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:10,2/25/2021 6:29,19,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:10,2/25/2021 6:15,5,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:11,2/25/2021 6:16,5,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:13,2/25/2021 6:16,3,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:13,2/25/2021 6:21,8,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:15,2/25/2021 6:19,4,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:15,2/25/2021 6:20,5,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:17,2/25/2021 6:26,9,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:20,2/25/2021 6:32,12,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:20,2/25/2021 6:25,5,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:23,2/25/2021 6:25,2,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:23,2/25/2021 6:26,3,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:24,2/25/2021 6:34,10,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:26,2/25/2021 6:35,9,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:26,2/25/2021 6:31,5,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:27,2/25/2021 6:28,1,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:27,2/25/2021 6:34,7,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:27,2/25/2021 6:48,21,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:28,2/25/2021 6:32,4,T,230,352100
